make,model,series,series_year,price,enginesize,fuelsystem,tankcapacity,power,seats,standardtransmission,bodyType,drive,wheelbase
ALFA ROMEO,GTV,2,1999,61990,2.0L,MULTI POINT F/INJ,70L,114Kw,4,5M,2D COUPE,FWD,2540mm
ALFA ROMEO,GTV,2,1999,61990,2.0L,MULTI POINT F/INJ,70L,114Kw,4,5M,2D COUPE,FWD,2540mm
ALFA ROMEO,156,V6 24V,2002,57500,2.5L,MULTI POINT F/INJ,63L,140Kw,5,6M,4D SEDAN,FWD,2595mm
ALFA ROMEO,156,V6 24V,2002,57500,2.5L,MULTI POINT F/INJ,63L,140Kw,5,6M,4D SEDAN,FWD,2595mm
ALFA ROMEO,156,V6 24V,2002,57500,2.5L,MULTI POINT F/INJ,63L,140Kw,5,6M,4D SEDAN,FWD,2595mm
ALFA ROMEO,156,V6 24V,2002,57500,2.5L,MULTI POINT F/INJ,63L,140Kw,5,6M,4D SEDAN,FWD,2595mm
ALFA ROMEO,156,V6 24V,2002,57500,2.5L,MULTI POINT F/INJ,63L,140Kw,5,6M,4D SEDAN,FWD,2595mm
ALFA ROMEO,156,V6 24V,2002,57500,2.5L,MULTI POINT F/INJ,63L,140Kw,5,6M,4D SEDAN,FWD,2595mm
ALFA ROMEO,147,GTA MONZA,2005,59990,3.2L,MULTI POINT F/INJ,63L,184Kw,5,6M,3D HATCHBACK,FWD,2546mm
ALFA ROMEO,147,GTA MONZA,2005,59990,3.2L,MULTI POINT F/INJ,63L,184Kw,5,6M,3D HATCHBACK,FWD,2546mm
ALFA ROMEO,156,2.0 SELESPEED TWIN SPARK,1999,49950,2.0L,MULTI POINT F/INJ,63L,114Kw,5,5MSel,4D SEDAN,FWD,2595mm
ALFA ROMEO,156,2.0 SELESPEED TWIN SPARK,1999,49950,2.0L,MULTI POINT F/INJ,63L,114Kw,5,5MSel,4D SEDAN,FWD,2595mm
ALFA ROMEO,156,2.0 SELESPEED TWIN SPARK,1999,49950,2.0L,MULTI POINT F/INJ,63L,114Kw,5,5MSel,4D SEDAN,FWD,2595mm
ALFA ROMEO,156,2.0 SELESPEED TWIN SPARK,1999,49950,2.0L,MULTI POINT F/INJ,63L,114Kw,5,5MSel,4D SEDAN,FWD,2595mm
ALFA ROMEO,147,2.0 TWIN SPARK,2003,39500,2.0L,MULTI POINT F/INJ,60L,110Kw,5,5M,5D HATCHBACK,FWD,2546mm
ALFA ROMEO,147,2.0 TWIN SPARK,2003,39500,2.0L,MULTI POINT F/INJ,60L,110Kw,5,5M,5D HATCHBACK,FWD,2546mm
ALFA ROMEO,GTV,2,1999,61990,2.0L,MULTI POINT F/INJ,70L,103Kw,5,6M,4D SEDAN,FWD,2578mm
ALFA ROMEO,GTV,2,1999,61990,2.0L,MULTI POINT F/INJ,70L,125Kw,5,6ADSG,5D HATCHBACK,FWD,2578mm
ALFA ROMEO,156,V6 24V,2002,57500,2.5L,MULTI POINT F/INJ,63L,80Kw,4,4ATip,2D CABRIOLET,FWD,2442mm
ALFA ROMEO,156,V6 24V,2002,57500,2.5L,MULTI POINT F/INJ,63L,104Kw,5,5M,5D HATCHBACK,FWD,2605mm
ALFA ROMEO,156,V6 24V,2002,57500,2.5L,MULTI POINT F/INJ,63L,92Kw,5,5M,5D HATCHBACK,FWD,2605mm
ALFA ROMEO,156,V6 24V,2002,57500,2.5L,MULTI POINT F/INJ,63L,93Kw,5,4A,5D HATCHBACK,FWD,2610mm
ALFA ROMEO,156,V6 24V,2002,57500,2.5L,MULTI POINT F/INJ,63L,93Kw,5,5M,4D SEDAN,FWD,2610mm
ALFA ROMEO,156,V6 24V,2002,57500,2.5L,MULTI POINT F/INJ,63L,96Kw,5,CVTM,4D SEDAN,FWD,2650mm
ALFA ROMEO,147,GTA MONZA,2005,59990,3.2L,MULTI POINT F/INJ,63L,160Kw,5,5ATS,4D WAGON,4WD,2820mm
ALFA ROMEO,147,GTA MONZA,2005,59990,3.2L,MULTI POINT F/INJ,63L,142Kw,2,5A,2D CONVERTIBLE,RWD,2400mm
ALFA ROMEO,156,2.0 SELESPEED TWIN SPARK,1999,49950,2.0L,MULTI POINT F/INJ,63L,46Kw,8,4M4x4,2D HARDTOP,4WD,2230mm
ALFA ROMEO,156,2.0 SELESPEED TWIN SPARK,1999,49950,2.0L,MULTI POINT F/INJ,63L,142Kw,4,5A,2D CABRIOLET,RWD,2690mm
ALFA ROMEO,156,2.0 SELESPEED TWIN SPARK,1999,49950,2.0L,MULTI POINT F/INJ,63L,82Kw,5,4A,4D SEDAN,RWD,2665mm
ALFA ROMEO,156,2.0 SELESPEED TWIN SPARK,1999,49950,2.0L,MULTI POINT F/INJ,63L,NULL,NULL,NULL,NULL,NULL,NULL
ALFA ROMEO,147,2.0 TWIN SPARK,2003,39500,2.0L,MULTI POINT F/INJ,60L,145Kw,5,4A,4D SEDAN,RWD,2795mm
ALFA ROMEO,147,2.0 TWIN SPARK,2003,39500,2.0L,MULTI POINT F/INJ,60L,104Kw,5,5M,5D HATCHBACK,FWD,2605mm
AUDI,A4,B6 2.0,2002,50650,2.0L,MULTI POINT F/INJ,70L,96Kw,5,CVTM,4D SEDAN,FWD,2650mm
AUDI,A4,B6 2.0,2002,50650,2.0L,MULTI POINT F/INJ,70L,96Kw,5,CVTM,4D SEDAN,FWD,2650mm
AUDI,A3,8P SPORTBACK 2.0 TDI AMBITION DSG,2005,47750,2.0L,DIESEL TURBO F/INJ,55L,103Kw,5,6ADSG,5D HATCHBACK,FWD,2578mm
AUDI,90,SPORT,1990,42245,2.3L,ELECTRONIC F/INJ,68L,100Kw,5,5M,4D SEDAN,FWD,2546mm
AUDI,A4,B7 2.0,2007,50450,2.0L,MULTI POINT F/INJ,70L,96Kw,5,CVTM,4D SEDAN,FWD,2648mm
AUDI,A4,B7 2.0,2007,50450,2.0L,MULTI POINT F/INJ,70L,96Kw,5,CVTM,4D SEDAN,FWD,2648mm
AUDI,TT,MY99,1999,73000,1.8L,TURBO MPFI,55L,132Kw,4,5M,2D COUPE,FWD,2419mm
